place_name,city,country,rating,review_count,categories
Eiffel Tower,Paris,France,4.5,125432,"Monuments, Landmarks, Architecture"
Louvre Museum,Paris,France,4.7,98234,"Museums, Art, Culture"
Notre-Dame Cathedral,Paris,France,4.6,87654,"Churches, Architecture, History"
Arc de Triomphe,Paris,France,4.4,65432,"Monuments, History, Architecture"
Sacre-Coeur Basilica,Paris,France,4.5,78921,"Churches, Architecture, Viewpoints"
Central Park,New York,USA,4.8,234567,"Parks, Nature, Recreation"
Statue of Liberty,New York,USA,4.6,198765,"Monuments, Landmarks, History"
Metropolitan Museum,New York,USA,4.7,165432,"Museums, Art, Culture"
Times Square,New York,USA,4.3,287654,"Landmarks, Shopping, Entertainment"
Brooklyn Bridge,New York,USA,4.5,142876,"Bridges, Architecture, Viewpoints"
Colosseum,Rome,Italy,4.7,245678,"Ruins, History, Architecture"
Vatican Museums,Rome,Italy,4.6,187654,"Museums, Art, Culture, Religious"
Trevi Fountain,Rome,Italy,4.5,198765,"Fountains, Landmarks, Architecture"
Pantheon,Rome,Italy,4.6,156789,"Monuments, Architecture, History"
Roman Forum,Rome,Italy,4.5,134567,"Ruins, History, Archaeology"
Tower Bridge,London,UK,4.5,187654,"Bridges, Landmarks, Architecture"
British Museum,London,UK,4.7,234567,"Museums, Culture, History"
Westminster Abbey,London,UK,4.6,167890,"Churches, Architecture, History"
Big Ben,London,UK,4.4,198765,"Monuments, Landmarks, Architecture"
Hyde Park,London,UK,4.6,145678,"Parks, Nature, Recreation"
Sagrada Familia,Barcelona,Spain,4.8,267890,"Churches, Architecture, Landmarks"
Park Guell,Barcelona,Spain,4.6,198765,"Parks, Architecture, Viewpoints"
La Rambla,Barcelona,Spain,4.3,234567,"Shopping, Food, Entertainment"
Gothic Quarter,Barcelona,Spain,4.5,176543,"Neighborhoods, Architecture, History"
Casa Batllo,Barcelona,Spain,4.7,156789,"Architecture, Museums, Landmarks"
Tokyo Skytree,Tokyo,Japan,4.6,234567,"Observation Decks, Architecture, Viewpoints"
Senso-ji Temple,Tokyo,Japan,4.7,198765,"Temples, Culture, Religious"
Shibuya Crossing,Tokyo,Japan,4.4,267890,"Landmarks, Shopping, Entertainment"
Meiji Shrine,Tokyo,Japan,4.6,167890,"Temples, Culture, Nature"
Tsukiji Fish Market,Tokyo,Japan,4.5,198765,"Food, Markets, Culture"
Sydney Opera House,Sydney,Australia,4.7,267890,"Architecture, Performing Arts, Landmarks"
Sydney Harbour Bridge,Sydney,Australia,4.6,234567,"Bridges, Architecture, Viewpoints"
Bondi Beach,Sydney,Australia,4.5,198765,"Beaches, Nature, Recreation"
Royal Botanic Gardens,Sydney,Australia,4.6,156789,"Parks, Nature, Gardens"
Taronga Zoo,Sydney,Australia,4.5,187654,"Zoos, Wildlife, Family"
Machu Picchu,Cusco,Peru,4.9,198765,"Ruins, History, Nature"
Sacsayhuaman,Cusco,Peru,4.6,87654,"Ruins, History, Archaeology"
Sacred Valley,Cusco,Peru,4.7,123456,"Nature, History, Culture"
Coricancha,Cusco,Peru,4.5,98765,"Ruins, Religious, History"
Cusco Cathedral,Cusco,Peru,4.5,87654,"Churches, Architecture, History"
Burj Khalifa,Dubai,UAE,4.7,234567,"Observation Decks, Architecture, Landmarks"
Palm Jumeirah,Dubai,UAE,4.5,198765,"Landmarks, Beaches, Luxury"
Dubai Mall,Dubai,UAE,4.6,267890,"Shopping, Entertainment, Food"
Dubai Fountain,Dubai,UAE,4.7,234567,"Fountains, Entertainment, Landmarks"
Jumeirah Beach,Dubai,UAE,4.5,176543,"Beaches, Recreation, Luxury"
Taj Mahal,Agra,India,4.8,298765,"Monuments, Architecture, History"
Agra Fort,Agra,India,4.6,187654,"Forts, History, Architecture"
Fatehpur Sikri,Agra,India,4.5,145678,"Ruins, History, Architecture"
Itmad-ud-Daulah,Agra,India,4.4,98765,"Monuments, Architecture, History"
Mehtab Bagh,Agra,India,4.3,76543,"Parks, Viewpoints, Gardens"
Great Wall of China,Beijing,China,4.8,345678,"Monuments, History, Architecture"
Forbidden City,Beijing,China,4.7,298765,"Palaces, History, Museums"
Temple of Heaven,Beijing,China,4.6,234567,"Temples, Parks, Architecture"
Summer Palace,Beijing,China,4.6,198765,"Palaces, Parks, History"
Tiananmen Square,Beijing,China,4.4,267890,"Landmarks, History, Architecture"
Christ the Redeemer,Rio de Janeiro,Brazil,4.7,234567,"Monuments, Religious, Viewpoints"
Copacabana Beach,Rio de Janeiro,Brazil,4.6,298765,"Beaches, Recreation, Nature"
